Metric,SPY,Strategy
Risk-Free Rate,4.2%,4.2%
Time in Market,50.0%,50.0%
,,
Total Return,-1%,9%
CAGR% (Annual Return),-49.56%,4977149.9%
,,
Sharpe,-4.01,14.8
RoMaD,-43.84,-
Corr to Benchmark,1.0,0.23
Prob. Sharpe Ratio,32.36%,-
Smart Sharpe,-2.79,10.31
Sortino,-5.02,5427.47
Smart Sortino,-3.49,3779.2
Sortino/√2,-3.55,3837.8
Smart Sortino/√2,-2.47,2672.3
Omega,402.76,402.76
,,
Max Drawdown,-1.13%,-
Longest DD Days,-,-
Volatility (ann.),13.66%,55.91%
R^2,0.05,0.05
Information Ratio,0.85,0.85
Calmar,-43.84,-
Skew,-1.1,0.9
Kurtosis,2.2,-1.07
,,
Expected Daily%,-0.14%,2.25%
Expected Monthly%,-0.56%,9.3%
Expected Yearly%,-0.56%,9.3%
Daily Value-at-Risk,-1.31%,-2.53%
Expected Shortfall (cVaR),-1.31%,-2.53%
,,
MTD,-0.56%,9.3%
3M,-0.56%,9.3%
6M,-0.56%,9.3%
YTD,-0.56%,9.3%
1Y,-0.56%,9.3%
3Y (ann.),-49.56%,4977149.9%
5Y (ann.),-49.56%,4977149.9%
10Y (ann.),-49.56%,4977149.9%
All-time (ann.),-49.56%,4977149.9%
,,
Best Day,0.58%,6.13%
Worst Day,-1.13%,0.0%
Best Month,-0.56%,9.3%
Worst Month,-0.56%,9.3%
Best Year,-0.56%,9.3%
Worst Year,-0.56%,9.3%
,,
Avg. Drawdown,-1.13%,-
Avg. Drawdown Days,-,-
Recovery Factor,0.49,-
Ulcer Index,0.01,0.0
Serenity Index,-4.3,-
,,
Avg. Up Month,-,-
Avg. Down Month,-,-
Win Days,2.0,4.0
Loss Days,2.0,0.0
Win Days%,50.0%,100.0%
Win Month%,0.0%,100.0%
Win Quarter%,0.0%,100.0%
Win Year%,0.0%,100.0%
,,
Beta,-,0.92
Alpha,-,8.78
Correlation,-,22.55%
Treynor Ratio,-,5.51%
