Metric,SPY,Strategy
Risk-Free Rate,4.37%,4.37%
Time in Market,70.0%,70.0%
,,
Total Return,5%,0%
CAGR% (Annual Return),100.12%,3.41%
,,
Sharpe,5.01,0.15
RoMaD,46.08,0.36
Corr to Benchmark,1.0,0.39
Prob. Sharpe Ratio,92.18%,44.07%
Smart Sharpe,3.25,0.1
Sortino,11.0,0.23
Smart Sortino,7.13,0.15
Sortino/√2,7.78,0.16
Smart Sortino/√2,5.04,0.1
Omega,1.02,1.02
,,
Max Drawdown,-2.17%,-9.6%
Longest DD Days,14,7
Volatility (ann.),12.62%,37.75%
R^2,0.16,0.16
Information Ratio,-0.09,-0.09
Calmar,46.08,0.36
Skew,1.43,0.24
Kurtosis,5.82,0.09
,,
Expected Daily%,0.18%,0.01%
Expected Monthly%,4.87%,0.23%
Expected Yearly%,4.87%,0.23%
Daily Value-at-Risk,-0.9%,-3.22%
Expected Shortfall (cVaR),-0.9%,-3.22%
,,
MTD,4.87%,0.23%
3M,4.87%,0.23%
6M,4.87%,0.23%
YTD,4.87%,0.23%
1Y,4.87%,0.23%
3Y (ann.),100.12%,3.41%
5Y (ann.),100.12%,3.41%
10Y (ann.),100.12%,3.41%
All-time (ann.),100.12%,3.41%
,,
Best Day,2.49%,4.31%
Worst Day,-1.28%,-3.7%
Best Month,4.87%,0.23%
Worst Month,4.87%,0.23%
Best Year,4.87%,0.23%
Worst Year,4.87%,0.23%
,,
Avg. Drawdown,-1.24%,-5.78%
Avg. Drawdown Days,8,6
Recovery Factor,2.21,0.07
Ulcer Index,0.01,0.04
Serenity Index,0.19,-0.24
,,
Avg. Up Month,4.87%,0.23%
Avg. Down Month,-,-
Win Days,18.78,13.0
Loss Days,7.22,13.0
Win Days%,72.22%,50.0%
Win Month%,100.0%,100.0%
Win Quarter%,100.0%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,1.18
Alpha,-,-0.7
Correlation,-,39.48%
Treynor Ratio,-,-3.51%
